# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3719
# Selected columns: 6 (all)
# Timestamp: Fri, 24-Aug-2018 23:20:29
Gene ID	Gene Name	brain	cerebellum	heart	kidney	liver	testis
ENSMODG00000000403	CSRP1	178.0	163.0	33.0	48.0	9.0	10.0
ENSMODG00000000405	ENSMODG00000000405	2.0	3.0	0.6	3.0	6.0	11.0
ENSMODG00000000406	RALGAPB	22.0	21.0	12.0	18.0	6.0	67.0
ENSMODG00000000407	ZFP36L2	34.0	27.0	73.0	73.0	39.0	29.0
ENSMODG00000000408	STEAP3	10.0	10.0	9.0	10.0	86.0	10.0
ENSMODG00000000409	SSX2IP	20.0	15.0	4.0	11.0	21.0	248.0
ENSMODG00000000412	C11orf54	12.0	11.0	19.0	146.0	61.0	8.0
ENSMODG00000000414	ENSMODG00000000414	7.0	87.0	42.0	35.0	16.0	4.0
ENSMODG00000000415	ENSMODG00000000415	0.2					
ENSMODG00000000416	ENSMODG00000000416	4.0	5.0	2.0	2.0	0.6	4.0
ENSMODG00000000417	ENSMODG00000000417	0.1		0.3	2.0		2.0
ENSMODG00000000418	ARHGAP40	3.0	2.0	2.0	4.0	1.0	6.0
ENSMODG00000000420	C1QL2	32.0	0.9	0.1	0.7		0.1
ENSMODG00000000421	CTBS	9.0	7.0	31.0	86.0	106.0	53.0
ENSMODG00000000422	ENSMODG00000000422		0.9	0.6	0.1	0.2	1.0
ENSMODG00000000423	SEPSECS	3.0	6.0	4.0	11.0	11.0	81.0
ENSMODG00000000424	ENSMODG00000000424						24.0
ENSMODG00000000427	ENSMODG00000000427	31.0	76.0	20.0	57.0	26.0	32.0
ENSMODG00000000429	SLC32A1	74.0	266.0				
ENSMODG00000000430	ENSMODG00000000430	5.0	8.0	1.0	3.0	0.7	4.0
ENSMODG00000000432	HHIP	6.0	3.0	0.1	3.0	26.0	25.0
ENSMODG00000000433	MARCO	0.3	0.8			44.0	0.1
ENSMODG00000000434	ENSMODG00000000434	1.0	2.0	3.0	3.0	0.8	2.0
ENSMODG00000000436	ELP2	15.0	21.0	4.0	15.0	8.0	12.0
ENSMODG00000000438	EN1	0.1	15.0		0.4		0.1
ENSMODG00000000439	ANAPC10	11.0	10.0	9.0	6.0	3.0	7.0
ENSMODG00000000441	CNTN5	5.0	2.0	2.0	0.7		0.1
ENSMODG00000000442	ACTR5	10.0	11.0	3.0	6.0	5.0	12.0
ENSMODG00000000443	TRIM33	28.0	25.0	5.0	11.0	5.0	21.0
ENSMODG00000000444	JADE3	3.0	6.0	3.0	2.0	0.8	0.3
ENSMODG00000000446	LRP8	29.0	52.0	5.0	1.0	0.4	59.0
ENSMODG00000000447	EVX1		0.3				0.1
ENSMODG00000000448	PPP1R16B	19.0	50.0	7.0	63.0	1.0	2.0
ENSMODG00000000449	HOXA13				0.1		0.3
ENSMODG00000000450	ENSMODG00000000450	0.8	1.0	0.1	1.0	0.2	0.8
ENSMODG00000000451	ENSMODG00000000451	3.0	4.0	1.0	3.0	2.0	5.0
